Restaurant Name,Description,Tags,Website,Rating,Review Count,Full Address,Coordinates,Phone
Corner16,"American eats with Southern flair & housemade sodas served in a cool, lively space with a full bar.",American restaurant,https://corner16.com/,4.4,1949,"1640 Bob Kirby Rd, Knoxville, TN 37931",35.9469919 -84.1149858,+1 865-801-9101
Stock & Barrel,Stylish restaurant featuring thoughtfully sourced burgers & an extensive selection of bourbons.,"American restaurant, Bar, Bar & grill, Hamburger restaurant",https://www.thestockandbarrel.com/,4.6,3535,"35 Market Square, Knoxville, TN 37902",35.965607999999996 -83.9202375,+1 865-766-2075
Parkside Grill,"Restaurant serving twists on classic American dishes & drinks in a casual, contemporary setting.","American restaurant, Bar",https://parksidegrill.com/,4.5,1579,"338 N Peters Rd, Knoxville, TN 37922",35.914409899999995 -84.09549,+1 865-862-5358
Calhoun's On The River,"Chain serving Tennessee BBQ, fresh-ground burgers & sandwiches, plus homestyle sides & craft beers.","Barbecue restaurant, American restaurant",https://www.calhouns.com/,4.4,5305,"400 Neyland Dr, Knoxville, TN 37902",35.959196999999996 -83.915791,+1 865-673-3355
Lakeside Tavern,"Sleek, stone & steel decor plus water views for a long menu of surf 'n' turf & buzzing happy hour.","American restaurant, Bar",https://lakeside-tavern.com/,4.6,2699,"10911 Concord Park Dr, Knoxville, TN 37922",35.865364 -84.13006299999999,+1 865-671-2980
Tupelo Honey Southern Kitchen & Bar,"An all-day menu of Southern comfort food with a creative twist, plus craft beers & cocktails.",Southern restaurant (US),https://tupelohoneycafe.com/location/knoxville/,4.4,2451,"1 Market Square, Knoxville, TN 37902",35.964723 -83.919528,+1 865-522-0004
Not Watson's Kitchen + Bar,Retro haunt with vintage decor offering classic bar food with a modern twist & regional craft beers.,"New American restaurant, Bar, Restaurant",https://notwatsons.com/,4.5,1921,"15 Market Square, Knoxville, TN 37902",35.9651638 -83.91981609999999,+1 865-766-4848
Lonesome Dove Knoxville,"Creative & exotic American fare, plus innovative cocktails, in an upscale rustic-chic space.",American restaurant,https://lonesomedoveknoxville.com/,4.5,736,"100 N Central St, Knoxville, TN 37902",35.9706101 -83.9184382,+1 865-999-5251
Farmacy,"Casual, airy restaurant crafting thoughtfully sourced Southern-inspired offerings, plus happy hour.",Restaurant,https://www.knoxfarmacy.com/,4.5,720,"5018 Kingston Pike, Knoxville, TN 37919",35.9390887 -83.9874789,+1 865-247-4678
The Tomato Head,"Hip American cafe-bakery serving light, hearty & vegetarian fare including pizza with beer & wine.","American restaurant, Pizza restaurant, Vegan restaurant, Vegetarian restaurant",https://thetomatohead.com/,4.5,2127,"12 Market Square, Knoxville, TN 37902",35.9651887 -83.91928209999999,+1 865-637-4067
Myrtle's Chicken and Beer,"Laid-back restaurant offering Southern fried chicken specialties, comfort food sides & craft brews.",Southern restaurant (US),https://myrtleschickenandbeer.com/,4.5,1396,"13 Market Square, Knoxville, TN 37902",35.965078399999996 -83.9197604,+1 865-851-8833
Sheri's Restaurant,,"American restaurant, Deli, Restaurant",nan,4.4,384,"4405 N Broadway, Knoxville, TN 37917",36.0129058 -83.92439,
Sam & Andy's Fountain City,,Hamburger restaurant,https://www.samandandysrestaurant.com/,4.4,1215,"2613 Adair Dr, Knoxville, TN 37918",36.0252888 -83.9277369,+1 865-281-9539
Tracy's Restaurant,,"American restaurant, Breakfast restaurant, Family restaurant",nan,4.2,429,"3913 Western Ave, Knoxville, TN 37921",35.974923499999996 -83.9760591,+1 865-524-9456
The Original Copper Cellar Restaurant,"Steak, seafood & an extensive wine list, plus Sunday brunch, served in a relaxed restaurant.","Steak house, American restaurant",https://coppercellar.com/,4.4,1249,"1807 Cumberland Ave, Knoxville, TN 37916",35.956129 -83.934376,+1 865-673-3411
Cafe 4,"Refined Southern classics, wine & beer in a comfortable dining room with a mezzanine coffee shop.","Southern restaurant (US), American restaurant, Cocktail bar, Coffee shop, Restaurant",https://kennedy-concepts.com/,4.4,1167,"4 Market Square, Knoxville, TN 37902",35.9650208 -83.9191814,+1 865-544-4144
Barberitos Knoxville,Order-at-the-counter chain known for Southwestern staples like burritos & a salsa bar.,"Southwestern restaurant (US), Burrito restaurant, Fast food restaurant, Mexican restaurant, Taco restaurant",https://www.barberitos.com/,4.2,325,"215 Brookview Centre Way #101, Knoxville, TN 37919",35.934732 -84.0041447,+1 865-330-0068
Cheddar's Scratch Kitchen,"Family-friendly chain serving American comfort food with a Texas twist, plus cocktails.","Traditional American restaurant, Chicken restaurant, Family restaurant, Takeout Restaurant, Soul food restaurant, Southern restaurant (US)",https://www.cheddars.com/locations/tn/knoxville/knoxville-kingston-pike/2154?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:knoxville-tn-2154_pl:locurl_rd:1126,4.3,3561,"8390 Kingston Pike, Knoxville, TN 37919",35.9225748 -84.058404,+1 865-851-9233
Drake's Knoxville,By day this casual restaurant serves a family burger menu before hosting parties after dark.,"American restaurant, Bar, Hamburger restaurant, Sushi restaurant",https://drakescomeplay.com/knoxville/,4.4,1509,"242 Morrell Rd, Knoxville, TN 37919",35.925285099999996 -84.033641,+1 865-474-1188
Walk-On's Sports Bistreaux - Knoxville Restaurant,"This game-day bar serves burgers & fried fare, plus local beers & party platters for big groups.","Restaurant, American restaurant, Sports bar",https://locate.walk-ons.com/walk-ons-sports-bistreaux-knoxville-restaurant-10837a59bf2c?utm_source=google&utm_medium=Yext,4.4,883,"7621 Kingston Pike, Knoxville, TN 37919",35.928680299999996 -84.0376829,+1 865-694-2706
Olive Garden Italian Restaurant,"Lively, family-friendly chain featuring Italian standards such as pastas & salads.","Italian restaurant, Caterer, Family restaurant, Gluten-free restaurant, Takeout Restaurant, Mediterranean restaurant, Seafood restaurant, Soup restaurant, Wine bar",https://www.olivegarden.com/locations/tn/knoxville/knoxville-west-town-mall/1092?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:knoxville-tn-1092_pl:locurl_rd:1058,4.3,3564,"7206 Kingston Pike, Knoxville, TN 37919",35.9301337 -84.0278809,+1 865-584-7300
Red Robin Gourmet Burgers and Brews,Chain for gourmet burgers & other American comfort fare.,"Restaurant, American restaurant, Family restaurant, Hamburger restaurant, Takeout Restaurant",https://locations.redrobin.com/tn/farragut/711/,4.1,2044,"11433 Parkside Dr, Farragut, TN 37934",35.9001853 -84.16374549999999,+1 865-777-1112
Chesapeake's Seafood Restaurant,Nautical antiques adorn the walls of this seafood house serving classic Eastern Shore-style dishes.,Seafood restaurant,https://www.chesapeakes.com/,4.5,1692,"600 Union Ave SW, Knoxville, TN 37902",35.9637598 -83.9221654,+1 865-673-3433
Balter Beerworks,Lofty taproom with a spacious backyard doles out Mexican & Southern-inspired eats & draft beers.,Brewpub,https://www.balterbeerworks.com/,4.6,2385,"100 Broadway SW, Knoxville, TN 37902",35.9664524 -83.92402539999999,+1 865-999-5015
harvest restaurant,"Refined outfit with a relaxed patio, plating familiar surf 'n' turf dishes plus chicken & dumplings.",Restaurant,https://harvestknox.com/,4.5,265,"5200 Kingston Pike, Knoxville, TN 37919",35.9382032 -83.9888517,+1 865-500-2427
Chesapeake's Seafood Restaurant,"Regional seafood, lobster & steaks in a modern, nautical-themed setup with a lounge & Sunday brunch.",Seafood restaurant,https://www.chesapeakes.com/,4.6,2024,"9630 Parkside Dr, Knoxville, TN 37922",35.911675599999995 -84.1074136,+1 865-851-9088
Chili's Grill & Bar,Family-friendly chain serving classic Tex-Mex & American fare in a Southwestern-style setting.,"Tex-Mex restaurant, American restaurant, Bar, Bar & grill, Family restaurant, Hamburger restaurant, Mexican restaurant, Restaurant",https://www.chilis.com/locations/us/tennessee/knoxville/knoxville?utm_source=google&utm_medium=local&utm_campaign=Chilis,4.1,1885,"7304 Kingston Pike, Knoxville, TN 37919",35.929793 -84.031269,+1 865-584-8195
